invoice_id,customer_name,customer_id,invoice_amount,invoice_date,due_date,currency,description,gstin,ground_truth_scenario,expected_match_id
INV-2026-0062,Primal Organics,CUST-PRO-014,44000.0,2026-02-03,2026-03-05,INR,Data Analytics Platform Access,27AABCP4567R1ZE,fee_adjusted,SET-2026-0062
INV-2026-0063,Nexus Infotech,CUST-NXI-015,112500.0,2026-04-25,2026-05-25,INR,Security & Vulnerability Assessment,36AABCN8901S1ZF,fee_adjusted,SET-2026-0063
INV-2026-0064,Apex Global Solutions,CUST-AGS-016,95000.0,2026-03-25,2026-04-24,INR,Security & Vulnerability Assessment,27AABCA2345T1ZG,fee_adjusted,SET-2026-0064
INV-2026-0065,SilverLine Express,CUST-SLX-017,116500.0,2026-04-01,2026-05-01,INR,Professional Audit & Advisory,27AABCS6789U1ZH,fee_adjusted,SET-2026-0065
INV-2026-0066,Horizon Media Labs,CUST-HML-018,124500.0,2026-02-20,2026-03-22,INR,IT Infrastructure Services,09AABCH0123V1ZJ,fee_adjusted,SET-2026-0066
INV-2026-0067,Beacon BioTech,CUST-BBT-019,39500.0,2026-04-06,2026-05-06,INR,Security & Vulnerability Assessment,24AABCB4567W1ZK,fee_adjusted,SET-2026-0067
INV-2026-0068,Synergy Workspace,CUST-SYW-020,199500.0,2026-04-09,2026-05-09,INR,Technical Consulting Retainer,27AABCS8901X1ZL,fee_adjusted,SET-2026-0068
INV-2026-0069,Indus Craftworks,CUST-ICW-021,22500.0,2026-01-25,2026-02-24,INR,Hardware Component Supply Tranche,29AABCI2345Y1ZM,fee_adjusted,SET-2026-0069
INV-2026-0070,Vanguard Security,CUST-VGS-022,37000.0,2026-04-22,2026-05-22,INR,Technical Consulting Retainer,27AABCV6789Z1ZN,fee_adjusted,SET-2026-0070
INV-2026-0071,Pinnacle Pharma,CUST-PNP-023,160000.0,2026-01-25,2026-02-24,INR,Digital Performance Marketing,36AABCP0123A1ZP,fee_adjusted,SET-2026-0071
INV-2026-0072,Alpha Matrix Telecom,CUST-AMT-024,101000.0,2026-04-23,2026-05-23,INR,IT Infrastructure Services,27AABCA4567B1ZQ,fee_adjusted,SET-2026-0072
INV-2026-0073,BrightCart Retail,CUST-BCR-001,82000.0,2026-01-26,2026-02-25,INR,Freight Forwarding & Transit Fee,27AABCB1122C1Z1,fee_adjusted,SET-2026-0073
INV-2026-0074,Nova Foods,CUST-NVF-002,134500.0,2026-03-01,2026-03-31,INR,Technical Consulting Retainer,29AABCN3344D1Z2,fee_adjusted,SET-2026-0074
INV-2026-0075,Aster Labs,CUST-AST-003,122500.0,2026-02-14,2026-03-16,INR,Hardware Component Supply Tranche,27AABCA5566E1Z3,fee_adjusted,SET-2026-0075
INV-2026-0076,UrbanNest,CUST-URN-004,542500.0,2026-04-15,2026-05-15,INR,Digital Performance Marketing,24AABCU7788F1Z4,delayed_settlement,SET-2026-0076
INV-2026-0077,Orbit Systems,CUST-ORB-005,355000.0,2026-04-19,2026-05-19,INR,Security & Vulnerability Assessment,29AABCO9900G1Z5,delayed_settlement,SET-2026-0077
INV-2026-0078,GreenLeaf Supplies,CUST-GLS-006,315000.0,2026-04-07,2026-05-07,INR,Hardware Component Supply Tranche,27AABCG1234H1Z6,delayed_settlement,SET-2026-0078
INV-2026-0079,Vertex Consulting,CUST-VTX-007,75500.0,2026-01-17,2026-02-16,INR,Security & Vulnerability Assessment,09AABCV5678J1Z7,delayed_settlement,SET-2026-0079
INV-2026-0080,PixelWorks,CUST-PXW-008,66500.0,2026-04-21,2026-05-21,INR,Cloud Hosting & Compute Credits,27AABCP9012K1Z8,delayed_settlement,SET-2026-0080
INV-2026-0081,NorthStar Traders,CUST-NST-009,67000.0,2026-03-22,2026-04-21,INR,Technical Consulting Retainer,19AABCN3456L1Z9,delayed_settlement,SET-2026-0081
INV-2026-0082,BluePeak Technologies,CUST-BPT-010,195500.0,2026-03-12,2026-04-11,INR,IT Infrastructure Services,36AABCB7890M1ZA,delayed_settlement,SET-2026-0082
INV-2026-0083,Zenith Logistics,CUST-ZNL-011,85500.0,2026-01-24,2026-02-23,INR,Professional Audit & Advisory,27AABCZ2345N1ZB,delayed_settlement,SET-2026-0083
INV-2026-0084,CloudPulse Software,CUST-CPS-012,190000.0,2026-03-04,2026-04-03,INR,Digital Performance Marketing,29AABCC6789P1ZC,delayed_settlement,SET-2026-0084
INV-2026-0085,Quantum Electronics,CUST-QEL-013,141500.0,2026-02-09,2026-03-11,INR,Security & Vulnerability Assessment,24AABCQ0123Q1ZD,delayed_settlement,SET-2026-0085
INV-2026-0086,Primal Organics,CUST-PRO-014,8000.0,2026-03-16,2026-04-15,INR,SaaS Subscription - Growth Tier,27AABCP4567R1ZE,partial_payment,SET-2026-0086
INV-2026-0087,Nexus Infotech,CUST-NXI-015,127000.0,2026-01-13,2026-02-12,INR,Freight Forwarding & Transit Fee,36AABCN8901S1ZF,partial_payment,SET-2026-0087
INV-2026-0088,Apex Global Solutions,CUST-AGS-016,43000.0,2026-03-03,2026-04-02,INR,Hardware Component Supply Tranche,27AABCA2345T1ZG,partial_payment,SET-2026-0088
INV-2026-0089,SilverLine Express,CUST-SLX-017,163000.0,2026-04-15,2026-05-15,INR,Hardware Component Supply Tranche,27AABCS6789U1ZH,partial_payment,SET-2026-0089
INV-2026-0090,Horizon Media Labs,CUST-HML-018,194000.0,2026-02-21,2026-03-23,INR,Quarterly Maintenance Contract,09AABCH0123V1ZJ,partial_payment,SET-2026-0090
INV-2026-0091,Beacon BioTech,CUST-BBT-019,146000.0,2026-02-01,2026-03-03,INR,Security & Vulnerability Assessment,24AABCB4567W1ZK,partial_payment,SET-2026-0091
INV-2026-0092,Synergy Workspace,CUST-SYW-020,64000.0,2026-03-23,2026-04-22,INR,Digital Performance Marketing,27AABCS8901X1ZL,partial_payment,SET-2026-0092
INV-2026-0093,Indus Craftworks,CUST-ICW-021,600000.0,2026-02-14,2026-03-16,INR,Quarterly Maintenance Contract,29AABCI2345Y1ZM,partial_payment,SET-2026-0093
INV-2026-0094,Vanguard Security,CUST-VGS-022,727500.0,2026-01-02,2026-02-01,INR,Professional Audit & Advisory,27AABCV6789Z1ZN,refund,SET-2026-0094
INV-2026-0095,Pinnacle Pharma,CUST-PNP-023,787500.0,2026-04-04,2026-05-04,INR,Data Analytics Platform Access,36AABCP0123A1ZP,refund,SET-2026-0095
INV-2026-0096,Alpha Matrix Telecom,CUST-AMT-024,520000.0,2026-04-03,2026-05-03,INR,Hardware Component Supply Tranche,27AABCA4567B1ZQ,refund,SET-2026-0096
INV-2026-0097,BrightCart Retail,CUST-BCR-001,28000.0,2026-01-25,2026-02-24,INR,Security & Vulnerability Assessment,27AABCB1122C1Z1,refund,SET-2026-0097
INV-2026-0098,Nova Foods,CUST-NVF-002,118000.0,2026-02-19,2026-03-21,INR,IT Infrastructure Services,29AABCN3344D1Z2,refund,SET-2026-0098
INV-2026-0099,Aster Labs,CUST-AST-003,109500.0,2026-03-22,2026-04-21,INR,Data Analytics Platform Access,27AABCA5566E1Z3,refund,SET-2026-0099
INV-2026-0100,UrbanNest,CUST-URN-004,78500.0,2026-04-27,2026-05-27,INR,Digital Performance Marketing,24AABCU7788F1Z4,duplicate_payment,SET-2026-0100
INV-2026-0101,Orbit Systems,CUST-ORB-005,108000.0,2026-01-22,2026-02-21,INR,Warehouse Inventory Ingestion,29AABCO9900G1Z5,duplicate_payment,SET-2026-0102
INV-2026-0102,GreenLeaf Supplies,CUST-GLS-006,198500.0,2026-04-21,2026-05-21,INR,Warehouse Inventory Ingestion,27AABCG1234H1Z6,duplicate_payment,SET-2026-0104
INV-2026-0103,Vertex Consulting,CUST-VTX-007,78500.0,2026-04-23,2026-05-23,INR,Hardware Component Supply Tranche,09AABCV5678J1Z7,duplicate_payment,SET-2026-0106
INV-2026-0104,PixelWorks,CUST-PXW-008,652500.0,2026-02-10,2026-03-12,INR,Cloud Hosting & Compute Credits,27AABCP9012K1Z8,duplicate_payment,SET-2026-0108
INV-2026-0105,NorthStar Traders,CUST-NST-009,940000.0,2026-04-04,2026-05-04,INR,Professional Audit & Advisory,19AABCN3456L1Z9,amount_mismatch,SET-2026-0110
INV-2026-0106,BluePeak Technologies,CUST-BPT-010,128500.0,2026-04-08,2026-05-08,INR,Cloud Hosting & Compute Credits,36AABCB7890M1ZA,amount_mismatch,SET-2026-0111
INV-2026-0107,Zenith Logistics,CUST-ZNL-011,525000.0,2026-02-28,2026-03-30,INR,Technical Consulting Retainer,27AABCZ2345N1ZB,amount_mismatch,SET-2026-0112
INV-2026-0108,CloudPulse Software,CUST-CPS-012,522500.0,2026-03-27,2026-04-26,INR,Hardware Component Supply Tranche,29AABCC6789P1ZC,amount_mismatch,SET-2026-0113
INV-2026-0109,Quantum Electronics,CUST-QEL-013,173500.0,2026-04-28,2026-05-28,INR,Technical Consulting Retainer,24AABCQ0123Q1ZD,amount_mismatch,SET-2026-0114
INV-2026-0110,Primal Organics,CUST-PRO-014,200000.0,2026-04-15,2026-05-15,INR,Technical Consulting Retainer,27AABCP4567R1ZE,missing_settlement,
INV-2026-0111,Nexus Infotech,CUST-NXI-015,645000.0,2026-02-19,2026-03-21,INR,Data Analytics Platform Access,36AABCN8901S1ZF,missing_settlement,
INV-2026-0112,Apex Global Solutions,CUST-AGS-016,110000.0,2026-01-11,2026-02-10,INR,Professional Audit & Advisory,27AABCA2345T1ZG,missing_settlement,
INV-2026-0113,SilverLine Express,CUST-SLX-017,102500.0,2026-04-22,2026-05-22,INR,Freight Forwarding & Transit Fee,27AABCS6789U1ZH,missing_settlement,
INV-2026-0114,Horizon Media Labs,CUST-HML-018,1430000.0,2026-01-05,2026-02-04,INR,Warehouse Inventory Ingestion,09AABCH0123V1ZJ,missing_settlement,
INV-2026-0115,Beacon BioTech,CUST-BBT-019,1220000.0,2026-01-28,2026-02-27,INR,SaaS Subscription - Growth Tier,24AABCB4567W1ZK,ambiguous_match,SET-2026-0115
INV-2026-0116,Synergy Workspace,CUST-SYW-020,109500.0,2026-02-03,2026-03-05,INR,Professional Audit & Advisory,27AABCS8901X1ZL,ambiguous_match,SET-2026-0116
INV-2026-0117,Indus Craftworks,CUST-ICW-021,25500.0,2026-03-28,2026-04-27,INR,Security & Vulnerability Assessment,29AABCI2345Y1ZM,ambiguous_match,SET-2026-0117
INV-2026-0118,Vanguard Security,CUST-VGS-022,222500.0,2026-01-08,2026-02-07,INR,IT Infrastructure Services,27AABCV6789Z1ZN,ambiguous_match,SET-2026-0118
INV-2026-0119,Pinnacle Pharma,CUST-PNP-023,30000.0,2026-01-15,2026-02-14,INR,SaaS Subscription - Growth Tier,36AABCP0123A1ZP,ambiguous_match,SET-2026-0119
INV-2026-0120,Alpha Matrix Telecom,CUST-AMT-024,19000.0,2026-03-12,2026-04-11,INR,Warehouse Inventory Ingestion,27AABCA4567B1ZQ,ambiguous_match,SET-2026-0120
